$Ascii:UWI 02_97-DD-1X,Lam Son JOC,,,
.	.	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Zoneset_Zone_BB	
UWI	Depth   Azimuth Derivation	DTCO3   DTSH5	East	ECGR	HAZI	HCAL	HDEVI	North	R	RHOZ	RLA1	RLA2	RLA3	RLA4	RLA5	RT_HRLT	RXOZ	TNPH	TVD	TVDSS	X	Y	Zoneset_Zone_BB
.	M	.	.	US/F	US/F	.	GAPI	Deg	IN	Deg	.	.	G/C3	OHMM	OHMM	OHMM	OHMM	OHMM	OHMM	OHMM	V/V	.	.	.	.	.	
null	1192.3776	219.0841	0.9904	106.5139	232.0348	-0.4589	125.9255	219.0841	13.1228	0.9904	-0.5079	0.6845	2.1003	0.3855	0.4589	0.5065	0.5542	0.5522	0.6868	0.2193	0.3584	1192.3725	1192.3725	-0.4589	-0.5079	A	
null	1192.53	219.0672	0.9914	105.5877	231.3385	-0.4605	128.6368	219.0672	12.9243	0.9914	-0.5099	0.6871	2.1147	0.3958	0.4643	0.5175	0.5708	0.5756	0.7167	0.2427	0.3305	1192.5249	1192.5249	-0.4605	-0.5099	A	
null	1192.6824	219.0503	0.9923	105.5984	229.5758	-0.4622	128.0695	219.0503	12.6958	0.9923	-0.512	0.6897	2.1469	0.4001	0.4623	0.5235	0.5785	0.5884	0.7378	0.272	0.3025	1192.6772	1192.6772	-0.4622	-0.512	A	
null	1192.8348	219.0335	0.9933	103.5315	216.553	-0.4638	127.9064	219.0335	12.847	0.9933	-0.514	0.6924	2.1893	0.4132	0.4663	0.5374	0.5965	0.6146	0.7779	0.3369	0.2748	1192.8296	1192.8296	-0.4638	-0.514	A	
null	1192.9872	219.0166	0.9942	98.357	216.7563	-0.4655	119.6163	219.0166	12.5336	0.9942	-0.5161	0.695	2.2271	0.4722	0.5459	0.6412	0.7203	0.7562	0.9793	0.3726	0.2872	1192.982	1192.982	-0.4655	-0.5161	A	
null	1193.1396	218.9999	0.9952	98.357	209.991	-0.4672	118.5533	218.9999	12.1778	0.9952	-0.5182	0.6977	2.2489	0.5122	0.581	0.6773	0.7624	0.8099	1.0448	0.4255	0.3112	1193.1344	1193.1344	-0.4672	-0.5182	A	
null	1193.292	218.9831	0.9961	98.4399	204.0071	-0.4688	120.7802	218.9831	12.1735	0.9961	-0.5202	0.7003	2.2437	0.5663	0.6368	0.7449	0.8438	0.9071	1.1808	0.4362	0.3175	1193.2868	1193.2868	-0.4688	-0.5202	A	
null	1193.4444	218.9664	0.9971	99.1705	204.0901	-0.4705	124.9573	218.9664	12.1747	0.9971	-0.5223	0.703	2.207	0.5862	0.6753	0.7938	0.9107	0.998	1.3071	0.3797	0.3203	1193.4391	1193.4391	-0.4705	-0.5223	A	
null	1193.5968	218.9497	0.9981	99.6721	204.6047	-0.4722	123.1364	218.9497	12.2462	0.9981	-0.5243	0.7056	2.1704	0.4729	0.5296	0.6061	0.687	0.7569	0.958	0.3086	0.3275	1193.5915	1193.5915	-0.4722	-0.5243	A	
null	1193.7492	218.9331	0.999	100.4607	208.2715	-0.4738	122.5502	218.9331	12.6159	0.999	-0.5264	0.7083	2.135	0.4201	0.4644	0.5203	0.5847	0.6461	0.7973	0.2656	0.3595	1193.7439	1193.7439	-0.4738	-0.5264	A	
null	1193.9016	218.9164	1	101.961	214.2832	-0.4755	125.1108	218.9164	13.0562	1	-0.5285	0.7109	2.1153	0.4169	0.4566	0.5004	0.5563	0.6138	0.738	0.2701	0.3739	1193.8963	1193.8963	-0.4755	-0.5285	A	
null	1194.054	218.8999	1.0009	105.4157	218.3023	-0.4772	123.8209	218.8999	13.0827	1.0009	-0.5305	0.7136	2.1004	0.4288	0.4764	0.5166	0.5696	0.6293	0.7464	0.2488	0.3709	1194.0486	1194.0486	-0.4772	-0.5305	A	
null	1194.2064	218.8833	1.0019	115.8554	223.9066	-0.4789	122.6551	218.8833	13.1705	1.0019	-0.5326	0.7162	2.0991	0.4214	0.4728	0.5024	0.5458	0.6014	0.7022	0.2453	0.3683	1194.201	1194.201	-0.4789	-0.5326	A	
null	1194.3588	218.8668	1.0028	108.1232	228.6948	-0.4805	121.6953	218.8668	13.226	1.0028	-0.5347	0.7189	2.1049	0.4001	0.4663	0.4955	0.5299	0.5801	0.684	0.2281	0.3748	1194.3534	1194.3534	-0.4805	-0.5347	A	
null	1194.5112	218.8503	1.0038	106.1399	231.5854	-0.4822	119.8943	218.8503	13.1911	1.0038	-0.5368	0.7216	2.112	0.405	0.4774	0.5174	0.5496	0.5972	0.7142	0.2321	0.3677	1194.5058	1194.5058	-0.4822	-0.5368	A	
null	1194.6636	218.8338	1.0047	104.9557	231.4727	-0.4839	120.1577	218.8338	13.0898	1.0047	-0.5389	0.7242	2.1131	0.4006	0.474	0.5211	0.5548	0.5966	0.7221	0.236	0.3724	1194.6581	1194.6581	-0.4839	-0.5389	A	
null	1194.816	218.8174	1.0057	102.1711	231.3262	-0.4856	121.7239	218.8174	13.0165	1.0057	-0.5409	0.7269	2.1204	0.3869	0.4595	0.5124	0.5505	0.5863	0.7201	0.2416	0.3905	1194.8105	1194.8105	-0.4856	-0.5409	A	
null	1194.9684	218.801	1.0067	101.0609	213.5551	-0.4872	123.1317	218.801	12.7921	1.0067	-0.543	0.7296	2.1214	0.3778	0.4473	0.506	0.5512	0.5801	0.7238	0.2559	0.4234	1194.9629	1194.9629	-0.4872	-0.543	A	
null	1195.1208	218.7846	1.0076	100.6186	211.8895	-0.4889	119.5654	218.7846	12.5657	1.0076	-0.5451	0.7322	2.1408	0.4019	0.4709	0.544	0.6009	0.6245	0.7931	0.2677	0.4118	1195.1153	1195.1153	-0.4889	-0.5451	A	
null	1195.2732	218.7683	1.0086	99.4056	187.2338	-0.4906	115.2681	218.7683	12.2448	1.0086	-0.5472	0.7349	2.1677	0.429	0.5094	0.6029	0.6741	0.6957	0.9025	0.2569	0.365	1195.2676	1195.2676	-0.4906	-0.5472	A	
null	1195.4256	218.752	1.0095	97.2268	204.6047	-0.4923	109.5229	218.752	12.1918	1.0095	-0.5493	0.7376	2.2067	0.4117	0.4966	0.5871	0.6588	0.675	0.8784	0.2727	0.3455	1195.42	1195.42	-0.4923	-0.5493	A	
null	1195.578	218.7357	1.0105	97.5414	199.4942	-0.4939	109.7629	218.7357	12.1438	1.0105	-0.5514	0.7403	2.2162	0.4438	0.5445	0.6458	0.7278	0.7442	0.976	0.3079	0.3479	1195.5724	1195.5724	-0.4939	-0.5514	A	
null	1195.7304	218.7195	1.0114	98.009	190.0158	-0.4956	112.4076	218.7195	12.1338	1.0114	-0.5535	0.743	2.1829	0.4907	0.5913	0.693	0.7776	0.7947	1.0285	0.359	0.351	1195.7248	1195.7248	-0.4956	-0.5535	A	
null	1195.8828	218.7032	1.0124	100.0636	198.006	-0.4973	119.1944	218.7032	12.1008	1.0124	-0.5556	0.7456	2.1488	0.4703	0.5535	0.6423	0.7084	0.7231	0.9163	0.3193	0.3442	1195.8772	1195.8772	-0.4973	-0.5556	A	
null	1196.0352	218.6871	1.0134	101.3458	198.4044	-0.499	121.8555	218.6871	12.094	1.0134	-0.5577	0.7483	2.1411	0.4292	0.5033	0.5795	0.6311	0.6417	0.8055	0.2695	0.3251	1196.0295	1196.0295	-0.499	-0.5577	A	
null	1196.1876	218.6709	1.0143	103.8672	196.8219	-0.5007	124.3276	218.6709	12.6004	1.0143	-0.5598	0.751	2.1415	0.3889	0.4575	0.5041	0.5405	0.5455	0.6696	0.2492	0.3254	1196.1819	1196.1819	-0.5007	-0.5598	A	
null	1196.34	218.6548	1.0153	105.5583	216.6227	-0.5024	130.1588	218.6548	13.1054	1.0153	-0.5619	0.7537	2.1473	0.4304	0.5063	0.5535	0.5883	0.5935	0.7236	0.2457	0.3219	1196.3343	1196.3343	-0.5024	-0.5619	A	
null	1196.4924	218.6387	1.0162	107.2149	224.2265	-0.5041	133.9991	218.6387	13.1168	1.0162	-0.564	0.7564	2.1312	0.4952	0.5734	0.6208	0.6525	0.6559	0.782	0.2451	0.3369	1196.4867	1196.4867	-0.5041	-0.564	A	
null	1196.6448	218.6226	1.0172	107.6119	230.4417	-0.5057	138.283	218.6226	13.0734	1.0172	-0.5661	0.7591	2.1417	0.5465	0.6106	0.6499	0.6746	0.6769	0.7709	0.255	0.3491	1196.639	1196.639	-0.5057	-0.5661	A	
null	1196.7972	218.6066	1.0181	107.1578	239.304	-0.5074	142.904	218.6066	13.0071	1.0181	-0.5682	0.7618	2.1463	0.5472	0.5962	0.6409	0.6566	0.6591	0.7518	0.2758	0.3756	1196.7914	1196.7914	-0.5074	-0.5682	A	
null	1196.9496	218.5906	1.0191	107.0638	245.3615	-0.5091	149.8181	218.5906	12.7399	1.0191	-0.5704	0.7645	2.178	0.5133	0.5558	0.5972	0.61	0.612	0.698	0.3493	0.3868	1196.9438	1196.9438	-0.5091	-0.5704	A	
null	1197.102	218.5746	1.02	107.8362	251.3377	-0.5108	154.136	218.5746	12.6198	1.02	-0.5725	0.7672	2.2387	0.702	0.7851	0.8747	0.9049	0.9113	1.0841	0.4293	0.3734	1197.0962	1197.0962	-0.5108	-0.5725	A	
null	1197.2544	218.5587	1.021	109.189	254.6853	-0.5125	160.6381	218.5587	12.4941	1.021	-0.5746	0.77	2.2931	0.8776	0.9977	1.1127	1.1689	1.1736	1.4101	0.5799	0.3348	1197.2485	1197.2485	-0.5125	-0.5746	A	
null	1197.4068	218.5428	1.022	110.0849	265.5004	-0.5142	159.0405	218.5428	12.327	1.022	-0.5767	0.7727	2.3265	0.9568	1.1084	1.2244	1.3041	1.3075	1.5579	0.6317	0.3104	1197.4009	1197.4009	-0.5142	-0.5767	A	
null	1197.5592	218.5269	1.0229	110.1359	265.5004	-0.5159	165.4249	218.5269	12.2599	1.0229	-0.5788	0.7754	2.3136	1.0326	1.1026	1.1923	1.2624	1.2539	1.3797	0.6232	0.3047	1197.5533	1197.5533	-0.5159	-0.5788	A	
null	1197.7116	218.511	1.0239	110.076	263.3703	-0.5176	178.9664	218.511	14.4059	1.0239	-0.581	0.7781	2.3098	1.248	1.2273	1.2821	1.353	1.3404	1.3538	0.6166	0.2998	1197.7057	1197.7057	-0.5176	-0.581	A	
null	1197.864	218.4952	1.0248	109.7433	260.0681	-0.5193	192.3502	218.4952	15.7835	1.0248	-0.5831	0.7808	2.3201	1.3807	1.4104	1.4636	1.5279	1.5104	1.5401	0.6434	0.316	1197.858	1197.858	-0.5193	-0.5831	A	
null	1198.0164	218.4794	1.0258	109.8969	263.0842	-0.521	180.3873	218.4794	14.0171	1.0258	-0.5852	0.7835	2.3378	1.4919	1.8817	1.7678	1.7891	1.753	1.5986	0.767	0.3559	1198.0104	1198.0104	-0.521	-0.5852	A	
null	1198.1688	218.4637	1.0267	110.4413	262.0484	-0.5227	169.4839	218.4637	12.7746	1.0267	-0.5874	0.7863	2.3454	1.635	2.491	1.8911	1.8179	1.7842	1.5774	0.8881	0.3505	1198.1628	1198.1628	-0.5227	-0.5874	A	
null	1198.3212	218.4479	1.0277	110.4211	252.7572	-0.5244	162.9829	218.4479	12.2664	1.0277	-0.5895	0.789	2.348	1.6797	1.9945	1.7367	1.7258	1.718	1.7634	0.9738	0.3178	1198.3152	1198.3152	-0.5244	-0.5895	A	
null	1198.4736	218.4322	1.0287	106.7845	243.0798	-0.5261	158.6913	218.4322	12.2879	1.0287	-0.5917	0.7917	2.3611	1.7761	1.7296	1.718	1.7416	1.7525	1.7387	0.9859	0.2837	1198.4675	1198.4675	-0.5261	-0.5917	A	
null	1198.626	218.4165	1.0296	106.7845	234.6595	-0.5278	152.3675	218.4165	12.2898	1.0296	-0.5938	0.7945	2.3747	1.837	1.7963	1.8515	1.8946	1.9156	1.9084	1.114	0.2731	1198.6199	1198.6199	-0.5278	-0.5938	A	
null	1198.7784	218.4009	1.0306	102.7464	225.2827	-0.5295	146.6944	218.4009	12.2706	1.0306	-0.596	0.7972	2.3747	1.4055	1.4118	1.4624	1.4894	1.5047	1.5213	0.8919	0.2569	1198.7723	1198.7723	-0.5295	-0.596	A	
null	1198.9308	218.3853	1.0315	103.0799	225.2827	-0.5312	148.3652	218.3853	12.1724	1.0315	-0.5981	0.7999	2.3583	1.0904	1.1108	1.1208	1.1401	1.1485	1.1489	0.7582	0.2768	1198.9247	1198.9247	-0.5312	-0.5981	A	
null	1199.0832	218.3697	1.0325	103.5735	221.0128	-0.5329	156.444	218.3697	12.3222	1.0325	-0.6003	0.8027	2.3396	1.139	1.2687	1.3049	1.3449	1.3557	1.4858	0.6546	0.3142	1199.077	1199.077	-0.5329	-0.6003	A	
null	1199.2356	218.3541	1.0335	104.0503	221.7559	-0.5346	160.0093	218.3541	12.3465	1.0335	-0.6024	0.8054	2.3139	1.0672	1.2098	1.2564	1.2933	1.3041	1.4129	0.6866	0.348	1199.2294	1199.2294	-0.5346	-0.6024	A	
null	1199.388	218.3386	1.0344	104.6962	225.8462	-0.5363	159.2206	218.3386	12.4389	1.0344	-0.6046	0.8082	2.3014	1.1306	1.2732	1.331	1.3544	1.3639	1.4597	0.6529	0.3488	1199.3818	1199.3818	-0.5363	-0.6046	A	
null	1199.5404	218.3231	1.0354	105.8898	228.7872	-0.538	159.4905	218.3231	12.5294	1.0354	-0.6067	0.8109	2.3056	1.2265	1.3902	1.4448	1.4713	1.4728	1.5499	0.67	0.3553	1199.5342	1199.5342	-0.538	-0.6067	A	
null	1199.6928	218.3076	1.0363	106.3176	232.0455	-0.5397	161.925	218.3076	12.5995	1.0363	-0.6089	0.8137	2.3249	1.3817	1.5256	1.5584	1.584	1.5798	1.6294	0.6956	0.3614	1199.6865	1199.6865	-0.5397	-0.6089	A	
null	1199.8452	218.2922	1.0373	107.4813	220.6252	-0.5414	165.852	218.2922	12.6305	1.0373	-0.6111	0.8164	2.3423	1.5376	1.632	1.6688	1.7053	1.6986	1.7317	0.6858	0.3456	1199.8389	1199.8389	-0.5414	-0.6111	A	
null	1199.9976	218.2767	1.0382	106.7751	220.4283	-0.5431	162.6348	218.2767	12.6187	1.0382	-0.6132	0.8192	2.3452	1.6657	1.6409	1.6668	1.7168	1.7134	1.6974	0.7557	0.3377	1199.9913	1199.9913	-0.5431	-0.6132	A	
null	1200.15	218.2614	1.0392	106.7751	226.3131	-0.5448	160.3913	218.2614	12.6218	1.0392	-0.6154	0.8219	2.3334	1.5315	1.4914	1.5359	1.5873	1.5945	1.5858	0.7227	0.34	1200.1437	1200.1437	-0.5448	-0.6154	A	
null	1200.3024	218.246	1.0402	105.2212	220.7773	-0.5466	152.9492	218.246	12.5928	1.0402	-0.6176	0.8247	2.3179	1.0431	0.9888	1.0104	1.0577	1.0687	1.043	0.5425	0.3391	1200.296	1200.296	-0.5466	-0.6176	A	
null	1200.4548	218.2307	1.0411	104.6353	220.7773	-0.5483	142.344	218.2307	12.6599	1.0411	-0.6197	0.8274	2.3178	0.8548	0.8393	0.847	0.8909	0.8993	0.8909	0.45	0.3228	1200.4484	1200.4484	-0.5483	-0.6197	A	
null	1200.6072	218.2154	1.0421	104.6666	218.6525	-0.55	129.1009	218.2154	12.5231	1.0421	-0.6219	0.8302	2.3288	1.0121	1.0589	1.1044	1.1686	1.1842	1.3032	0.4826	0.3124	1200.6008	1200.6008	-0.55	-0.6219	A	
null	1200.7596	218.2001	1.043	104.4409	215.8974	-0.5517	122.3945	218.2001	12.2969	1.043	-0.6241	0.833	2.3072	1.0339	1.1398	1.1985	1.2744	1.3094	1.5069	0.5198	0.3197	1200.7532	1200.7532	-0.5517	-0.6241	A	
null	1200.912	218.1848	1.044	104.4409	216.7652	-0.5534	123.2291	218.1848	12.1	1.044	-0.6263	0.8358	2.2555	0.6752	0.7407	0.7764	0.8205	0.8485	0.9736	0.444	0.3244	1200.9055	1200.9055	-0.5534	-0.6263	A	
null	1201.0644	218.1696	1.045	104.7362	216.8699	-0.5551	130.3244	218.1696	12.1398	1.045	-0.6285	0.8385	2.212	0.5611	0.6391	0.6754	0.7138	0.7378	0.8661	0.3438	0.3322	1201.0579	1201.0579	-0.5551	-0.6285	A	
null	1201.2168	218.1544	1.0459	105.8591	224.6829	-0.5569	136.2497	218.1544	12.232	1.0459	-0.6306	0.8413	2.2007	0.525	0.6098	0.6521	0.692	0.7146	0.8535	0.3212	0.3336	1201.2103	1201.2103	-0.5569	-0.6306	A	
null	1201.3692	218.1393	1.0469	106.4765	231.7416	-0.5586	138.5837	218.1393	12.4688	1.0469	-0.6328	0.8441	2.2018	0.5233	0.5939	0.6417	0.6776	0.7003	0.831	0.3206	0.3431	1201.3627	1201.3627	-0.5586	-0.6328	A	
null	1201.5216	218.1241	1.0478	114.0676	234.5522	-0.5603	136.6078	218.1241	12.8019	1.0478	-0.635	0.8469	2.2016	0.5202	0.6012	0.6499	0.6897	0.7124	0.8527	0.3151	0.3474	1201.515	1201.515	-0.5603	-0.635	A	
null	1201.674	218.109	1.0488	112.0059	238.6591	-0.562	133.2129	218.109	13.3006	1.0488	-0.6372	0.8496	2.1956	0.5126	0.59	0.6335	0.6739	0.6941	0.8264	0.305	0.3463	1201.6674	1201.6674	-0.562	-0.6372	A	
null	1201.8264	218.0935	1.0497	112.0059	243.4577	-0.5637	132.014	218.0935	13.5328	1.0497	-0.6394	0.8524	2.1878	0.5147	0.5913	0.6369	0.6788	0.6978	0.8324	0.3	0.347	1201.8198	1201.8198	-0.5637	-0.6394	A	
null	1201.9788	218.0676	1.0502	111.3006	244.8882	-0.5655	131.5468	218.0676	13.4611	1.0502	-0.6416	0.8552	2.1729	0.5427	0.6207	0.6819	0.7302	0.7542	0.9111	0.2751	0.3683	1201.9722	1201.9722	-0.5655	-0.6416	A	
null	1202.1312	218.0372	1.0504	110.8134	249.3517	-0.5672	133.849	218.0372	13.3214	1.0504	-0.6438	0.858	2.1644	0.5213	0.5835	0.6386	0.6876	0.7136	0.8583	0.2565	0.4004	1202.1245	1202.1245	-0.5672	-0.6438	A	
null	1202.2836	218.0068	1.0506	110.8134	244.0397	-0.5689	133.7492	218.0068	13.2237	1.0506	-0.646	0.8608	2.1635	0.5016	0.5651	0.6218	0.6783	0.7084	0.8615	0.2316	0.4213	1202.2769	1202.2769	-0.5689	-0.646	A	
null	1202.436	217.9764	1.0509	114.4775	237.3222	-0.5706	135.3965	217.9764	13.2038	1.0509	-0.6482	0.8636	2.1641	0.4707	0.5294	0.5869	0.647	0.6803	0.8352	0.2243	0.3979	1202.4293	1202.4293	-0.5706	-0.6482	A	
null	1202.5884	217.9461	1.0511	111.998	235.3309	-0.5723	134.1756	217.9461	13.1491	1.0511	-0.6504	0.8664	2.1724	0.4441	0.4985	0.5557	0.6141	0.649	0.7994	0.2248	0.4061	1202.5817	1202.5817	-0.5723	-0.6504	A	
null	1202.7408	217.9158	1.0513	111.5572	235.4671	-0.5741	130.9405	217.9158	12.99	1.0513	-0.6526	0.8692	2.1781	0.4484	0.5077	0.567	0.6272	0.6652	0.8247	0.2366	0.3778	1202.734	1202.734	-0.5741	-0.6526	A	
null	1202.8932	217.8855	1.0516	110.6079	233.6363	-0.5758	128.35	217.8855	12.7479	1.0516	-0.6548	0.872	2.1884	0.4833	0.5621	0.6299	0.7013	0.7509	0.9447	0.247	0.3731	1202.8864	1202.8864	-0.5758	-0.6548	A	
null	1203.0456	217.8552	1.0518	108.412	228.4529	-0.5775	121.8036	217.8552	12.6365	1.0518	-0.657	0.8748	2.1912	0.4787	0.5659	0.6399	0.7151	0.7713	0.9801	0.2508	0.3437	1203.0388	1203.0388	-0.5775	-0.657	A	
null	1203.198	217.8249	1.052	108.8854	226.1702	-0.5792	122.6572	217.8249	12.5543	1.052	-0.6592	0.8775	2.1888	0.4489	0.5348	0.6109	0.684	0.7448	0.9516	0.2474	0.3562	1203.1912	1203.1912	-0.5792	-0.6592	A	
null	1203.3504	217.7946	1.0522	114.1766	224.9462	-0.5809	122.651	217.7946	12.4931	1.0522	-0.6615	0.8803	2.1798	0.4245	0.4943	0.5675	0.6337	0.6916	0.8796	0.2444	0.3848	1203.3435	1203.3435	-0.5809	-0.6615	A	
null	1203.5028	217.7643	1.0525	113.991	222.6021	-0.5826	131.2941	217.7643	12.5558	1.0525	-0.6637	0.8831	2.1746	0.409	0.4778	0.5481	0.6155	0.6717	0.8558	0.2401	0.4067	1203.4959	1203.4959	-0.5826	-0.6637	A	
null	1203.6552	217.7341	1.0527	110.2329	222.8548	-0.5844	134.0317	217.7341	12.6195	1.0527	-0.6659	0.8859	2.175	0.4214	0.4975	0.5684	0.6411	0.6972	0.89	0.2411	0.3782	1203.6483	1203.6483	-0.5844	-0.6659	A	
null	1203.8076	217.7039	1.0529	111.3055	225.0724	-0.5861	135.8016	217.7039	12.6923	1.0529	-0.6681	0.8887	2.1846	0.4411	0.5166	0.5878	0.6622	0.7176	0.913	0.2412	0.3653	1203.8007	1203.8007	-0.5861	-0.6681	A	
null	1203.96	217.6736	1.0532	107.6056	222.866	-0.5878	134.0242	217.6736	12.7574	1.0532	-0.6703	0.8915	2.1876	0.4814	0.5707	0.6532	0.7355	0.7937	1.0162	0.2361	0.3397	1203.953	1203.953	-0.5878	-0.6703	A	
null	1204.1124	217.6434	1.0534	107.5215	221.2883	-0.5895	135.4165	217.6434	12.8376	1.0534	-0.6725	0.8943	2.1936	0.4753	0.5619	0.6438	0.7186	0.7729	0.983	0.2279	0.3513	1204.1054	1204.1054	-0.5895	-0.6725	A	
null	1204.2648	217.6132	1.0536	112.4696	220.741	-0.5912	136.0681	217.6132	12.7869	1.0536	-0.6747	0.8971	2.1951	0.4453	0.5166	0.5887	0.6484	0.69	0.8604	0.2312	0.3506	1204.2578	1204.2578	-0.5912	-0.6747	A	
null	1204.4172	217.5831	1.0539	105.3235	220.1571	-0.5929	134.7036	217.5831	12.7454	1.0539	-0.677	0.8999	2.2053	0.4378	0.5076	0.5665	0.6215	0.6552	0.8056	0.2585	0.3524	1204.4102	1204.4102	-0.5929	-0.677	A	
null	1204.5696	217.5529	1.0541	105.2223	218.816	-0.5946	129.8419	217.5529	12.6901	1.0541	-0.6792	0.9027	2.2083	0.4696	0.5503	0.6173	0.6781	0.7124	0.8814	0.2799	0.3389	1204.5625	1204.5625	-0.5946	-0.6792	A	
null	1204.722	217.5227	1.0543	101.5836	219.0293	-0.5963	123.2774	217.5227	12.7825	1.0543	-0.6814	0.9055	2.2022	0.4763	0.5648	0.6279	0.6872	0.7174	0.8857	0.2856	0.3255	1204.7149	1204.7149	-0.5963	-0.6814	A	
null	1204.8744	217.4926	1.0546	98.8725	219.6427	-0.598	117.4446	217.4926	12.8655	1.0546	-0.6836	0.9083	2.1981	0.4599	0.5373	0.6027	0.6481	0.6724	0.8276	0.2705	0.3394	1204.8673	1204.8673	-0.598	-0.6836	A	
null	1205.0268	217.4625	1.0548	97.4857	213.2547	-0.5997	117.0977	217.4625	12.8995	1.0548	-0.6859	0.9111	2.2155	0.4455	0.5148	0.5748	0.6131	0.6349	0.7741	0.2779	0.3448	1205.0197	1205.0197	-0.5997	-0.6859	A	
null	1205.1792	217.4323	1.0551	97.4857	210.6629	-0.6015	117.366	217.4323	12.7912	1.0551	-0.6881	0.9139	2.2715	0.4487	0.5121	0.5664	0.5961	0.6145	0.7397	0.3402	0.3219	1205.172	1205.172	-0.6015	-0.6881	A	
null	1205.3316	217.4023	1.0553	96.8601	207.1344	-0.6032	116.184	217.4023	12.6149	1.0553	-0.6903	0.9167	2.3476	0.5234	0.5924	0.6553	0.6858	0.7053	0.8453	0.4929	0.2611	1205.3244	1205.3244	-0.6032	-0.6903	A	
null	1205.484	217.3722	1.0555	96.8601	204.2106	-0.6049	116.736	217.3722	12.8253	1.0555	-0.6926	0.9195	2.3944	0.5849	0.6459	0.7057	0.7382	0.7579	0.8924	0.9085	0.2368	1205.4768	1205.4768	-0.6049	-0.6926	A	
null	1205.6364	217.3421	1.0558	96.0465	203.0793	-0.6066	115.2299	217.3421	12.4099	1.0558	-0.6948	0.9223	2.3731	0.7562	0.8281	0.9087	0.9575	0.9859	1.1646	0.8485	0.2382	1205.6291	1205.6291	-0.6066	-0.6948	A	
null	1205.7888	217.312	1.056	94.1585	200.8586	-0.6083	118.949	217.312	12.1999	1.056	-0.697	0.9251	2.2908	0.6891	0.708	0.7701	0.8079	0.8336	0.9246	0.4956	0.2768	1205.7815	1205.7815	-0.6083	-0.697	A	
null	1205.9412	217.282	1.0562	93.2347	197.269	-0.61	122.2178	217.282	12.1485	1.0562	-0.6993	0.9279	2.2289	0.5691	0.5661	0.6027	0.6329	0.6534	0.6998	0.3448	0.3146	1205.9339	1205.9339	-0.61	-0.6993	A	
null	1206.0936	217.252	1.0565	90.1611	189.7034	-0.6117	125.5451	217.252	12.1237	1.0565	-0.7015	0.9307	2.2348	0.7367	0.8007	0.8661	0.9294	0.9678	1.1396	0.3557	0.3317	1206.0863	1206.0863	-0.6117	-0.7015	A	
null	1206.246	217.2219	1.0567	91.2118	182.4712	-0.6134	127.3955	217.2219	12.1205	1.0567	-0.7037	0.9335	2.295	0.8723	0.961	1.0498	1.1353	1.1939	1.4294	0.3946	0.3134	1206.2386	1206.2386	-0.6134	-0.7037	A	
null	1206.3984	217.1919	1.0569	91.2118	173.3918	-0.6151	123.9829	217.1919	12.1695	1.0569	-0.706	0.9363	2.3408	0.8396	0.8889	0.9478	1.0208	1.0736	1.2489	0.5022	0.2866	1206.391	1206.391	-0.6151	-0.706	A	
null	1206.5508	217.1619	1.0572	93.7287	173.3724	-0.6168	121.7511	217.1619	12.2446	1.0572	-0.7082	0.9391	2.3425	0.9247	1.0166	1.0991	1.1835	1.2496	1.4844	0.4814	0.2705	1206.5434	1206.5434	-0.6168	-0.7082	A	
null	1206.7032	217.132	1.0574	94.1646	176.8506	-0.6185	118.2008	217.132	12.2146	1.0574	-0.7104	0.9419	2.3155	0.8432	0.9151	0.9708	1.0377	1.1022	1.282	0.5169	0.2707	1206.6958	1206.6958	-0.6185	-0.7104	A	
null	1206.8556	217.102	1.0577	95.6274	179.2997	-0.6202	119.6699	217.102	12.2031	1.0577	-0.7127	0.9447	2.2879	0.849	0.9644	1.0556	1.1313	1.2111	1.4604	0.548	0.2863	1206.8481	1206.8481	-0.6202	-0.7127	A	
null	1207.008	217.072	1.0579	96.7024	199.6631	-0.6219	119.6174	217.072	12.1925	1.0579	-0.7149	0.9475	2.2439	0.8254	0.9383	1.0204	1.1017	1.197	1.437	0.4858	0.3043	1207.0005	1207.0005	-0.6219	-0.7149	A	
null	1207.1604	217.0421	1.0581	98.9723	198.3044	-0.6236	123.0279	217.0421	12.2766	1.0581	-0.7172	0.9504	2.193	0.6313	0.6972	0.7363	0.7873	0.8483	0.983	0.3698	0.3068	1207.1529	1207.1529	-0.6236	-0.7172	A	
null	1207.3128	217.0122	1.0584	101.9953	201.3643	-0.6253	126.7744	217.0122	12.4666	1.0584	-0.7194	0.9532	2.1497	0.5234	0.5958	0.636	0.68	0.7304	0.8592	0.2589	0.3141	1207.3053	1207.3053	-0.6253	-0.7194	A	
null	1207.4652	216.9823	1.0586	105.4869	216.2727	-0.6269	131.1797	216.9823	12.7253	1.0586	-0.7217	0.956	2.1404	0.4943	0.5724	0.6105	0.6511	0.6994	0.8255	0.2308	0.3288	1207.4576	1207.4576	-0.6269	-0.7217	A	
