$Ascii:UWI 02_97-DD-1X,Lam Son JOC,,,
.	.	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Dataset_Duyen	Zoneset_Zone_BB	
UWI	Depth   Azimuth Derivation	DTCO3   DTSH5	East	ECGR	HAZI	HCAL	HDEVI	North	R	RHOZ	RLA1	RLA2	RLA3	RLA4	RLA5	RT_HRLT	RXOZ	TNPH	TVD	TVDSS	X	Y	Zoneset_Zone_BB
.	M	.	.	US/F	US/F	.	GAPI	Deg	IN	Deg	.	.	G/C3	OHMM	OHMM	OHMM	OHMM	OHMM	OHMM	OHMM	V/V	.	.	.	.	.	
null	1149.096	225.6729	0.7242	56.1687	258.9515	-0.0274	79.8052	225.6729	12.4397	0.7242	-0.0264	0.038	4.6288	0.0118	0.0083	0.0056	0.0021	0.0002	0.0002	0.034	0.5684	1149.0958	1149.0958	-0.0274	-0.0264	A	
null	1149.2484	225.6412	0.7251	56.5103	257.7925	-0.0287	79.7066	225.6412	12.4305	0.7251	-0.0278	0.04	4.6288	0.013	0.0091	0.0063	0.0027	0.0008	0.0008	0.0301	0.5787	1149.2481	1149.2481	-0.0287	-0.0278	A	
null	1149.4008	225.6097	0.726	56.5103	258.1501	-0.0301	80.327	225.6097	12.4335	0.726	-0.0291	0.0419	4.6288	0.0137	0.0097	0.0068	0.0032	0.0015	0.0014	0.0301	0.5568	1149.4005	1149.4005	-0.0301	-0.0291	A	
null	1149.5532	225.5782	0.7269	56.4681	257.3871	-0.0315	81.5564	225.5782	12.4486	0.7269	-0.0305	0.0438	4.6288	0.0139	0.01	0.007	0.0036	0.002	0.0019	0.0302	0.5323	1149.5529	1149.5529	-0.0315	-0.0305	A	
null	1149.7056	225.5469	0.7278	56.4903	257.0946	-0.0329	81.274	225.5469	12.4515	0.7278	-0.0318	0.0458	4.6288	0.0137	0.0098	0.0068	0.0034	0.0019	0.0018	0.03	0.5713	1149.7053	1149.7053	-0.0329	-0.0318	A	
null	1149.858	225.5155	0.7287	56.4883	255.5476	-0.0343	80.6312	225.5155	12.4526	0.7287	-0.0332	0.0477	4.6288	0.0145	0.0104	0.0073	0.0037	0.002	0.002	0.0335	0.5669	1149.8577	1149.8577	-0.0343	-0.0332	A	
null	1150.0104	225.4843	0.7297	56.2834	253.3686	-0.0356	81.8794	225.4843	12.4482	0.7297	-0.0345	0.0496	4.6288	0.0142	0.0103	0.0073	0.0037	0.0021	0.002	0.0335	0.5056	1150.0101	1150.0101	-0.0356	-0.0345	A	
null	1150.1628	225.4532	0.7306	56.2686	254.631	-0.037	83.5567	225.4532	12.4498	0.7306	-0.0359	0.0516	4.6288	0.0147	0.0115	0.0082	0.0044	0.0026	0.0025	0.0417	0.4793	1150.1625	1150.1625	-0.037	-0.0359	A	
null	1150.3152	225.4221	0.7315	56.1034	253.9514	-0.0384	84.8446	225.4221	12.4615	0.7315	-0.0373	0.0535	4.6288	0.0129	0.0103	0.0077	0.0042	0.0024	0.0024	0.0364	0.4891	1150.3149	1150.3149	-0.0384	-0.0373	A	
null	1150.4676	225.3911	0.7324	56.1034	254.2103	-0.0398	85.0266	225.3911	12.462	0.7324	-0.0386	0.0555	3.7186	0.0119	0.0095	0.0078	0.0043	0.0026	0.0026	0.0364	0.5174	1150.4673	1150.4673	-0.0398	-0.0386	A	
null	1150.62	225.3602	0.7333	55.0268	255.5836	-0.0412	83.8364	225.3602	12.4558	0.7333	-0.04	0.0574	2.8006	0.0129	0.01	0.0086	0.0051	0.0032	0.0031	0.03	0.5696	1150.6196	1150.6196	-0.0412	-0.04	A	
null	1150.7724	225.3294	0.7342	55.0268	253.2721	-0.0426	83.997	225.3294	12.4451	0.7342	-0.0414	0.0594	1.8801	0.0141	0.0107	0.0091	0.0061	0.004	0.0039	0.0302	0.6336	1150.772	1150.772	-0.0426	-0.0414	A	
null	1150.9248	225.2986	0.7351	55.36	253.004	-0.044	83.0197	225.2986	12.4556	0.7351	-0.0428	0.0613	1.8873	0.0123	0.0093	0.0077	0.0056	0.0037	0.0036	0.0317	0.6282	1150.9244	1150.9244	-0.044	-0.0428	A	
null	1151.0772	225.2679	0.7361	55.1623	254.9615	-0.0454	80.6049	225.2679	12.4565	0.7361	-0.0441	0.0633	1.9132	0.0133	0.0099	0.0082	0.0062	0.0042	0.004	0.0317	0.575	1151.0768	1151.0768	-0.0454	-0.0441	A	
null	1151.2296	225.2373	0.737	55.1623	252.7233	-0.0467	81.5341	225.2373	12.4637	0.737	-0.0455	0.0652	1.9342	0.0147	0.0109	0.0091	0.007	0.0049	0.0048	0.0307	0.5296	1151.2292	1151.2292	-0.0467	-0.0455	A	
null	1151.382	225.2068	0.7379	55.2336	249.0008	-0.0481	81.1136	225.2068	12.4486	0.7379	-0.0469	0.0672	1.9408	0.0127	0.0095	0.0079	0.006	0.0043	0.0042	0.03	0.5272	1151.3816	1151.3816	-0.0481	-0.0469	A	
null	1151.5344	225.1763	0.7388	53.9792	249.1141	-0.0495	82.3021	225.1763	12.4499	0.7388	-0.0483	0.0692	1.95	0.013	0.0097	0.0079	0.0059	0.0045	0.0043	0.0322	0.5201	1151.534	1151.534	-0.0495	-0.0483	A	
null	1151.6868	225.146	0.7397	55.2668	250.7567	-0.0509	79.491	225.146	12.4486	0.7397	-0.0497	0.0711	1.9678	0.0126	0.0095	0.0077	0.0056	0.0046	0.0044	0.0322	0.5692	1151.6864	1151.6864	-0.0509	-0.0497	A	
null	1151.8392	225.1157	0.7407	53.9835	251.9995	-0.0523	79.9116	225.1157	12.4516	0.7407	-0.0511	0.0731	1.9732	0.0126	0.0093	0.0075	0.0054	0.0048	0.0046	0.0335	0.6649	1151.8387	1151.8387	-0.0523	-0.0511	A	
null	1151.9916	225.0854	0.7416	54.0899	251.834	-0.0537	84.2709	225.0854	12.4609	0.7416	-0.0524	0.0751	1.9546	0.0121	0.0089	0.0071	0.005	0.0047	0.0045	0.0313	0.6884	1151.9911	1151.9911	-0.0537	-0.0524	A	
null	1152.144	225.0553	0.7425	54.0899	253.3055	-0.0551	82.116	225.0553	12.4523	0.7425	-0.0538	0.077	1.9349	0.0124	0.0091	0.0072	0.0051	0.0049	0.0047	0.0365	0.7029	1152.1435	1152.1435	-0.0551	-0.0538	A	
null	1152.2964	225.0252	0.7434	53.8328	254.3135	-0.0565	81.0673	225.0252	12.4562	0.7434	-0.0552	0.079	1.9148	0.0129	0.0095	0.0076	0.0055	0.0053	0.0051	0.0348	0.6649	1152.2959	1152.2959	-0.0565	-0.0552	A	
null	1152.4488	224.9952	0.7443	55.3551	257.1437	-0.0579	77.9524	224.9952	12.4562	0.7443	-0.0566	0.081	1.9048	0.0117	0.0087	0.0069	0.0049	0.0047	0.0046	0.0348	0.5801	1152.4483	1152.4483	-0.0579	-0.0566	A	
null	1152.6012	224.9653	0.7453	55.3551	256.2986	-0.0593	81.9747	224.9653	12.4562	0.7453	-0.058	0.083	1.8923	0.0133	0.0098	0.0079	0.0058	0.0057	0.0055	0.03	0.5136	1152.6007	1152.6007	-0.0593	-0.058	A	
